game,year,month,month_idx,draw_nr,numbers
on-numara,2021,Ekim,10,87,"[5, 8, 9, 15, 16, 17, 27, 31, 36, 37, 38, 39, 45, 46, 57, 58, 60, 61, 67, 70, 73, 77]"
on-numara,2021,Ekim,10,86,"[1, 5, 6, 8, 9, 11, 15, 24, 28, 29, 39, 41, 48, 53, 54, 56, 57, 60, 65, 73, 76, 79]"
on-numara,2021,Ekim,10,85,"[4, 11, 13, 15, 16, 22, 24, 33, 38, 42, 56, 58, 60, 63, 64, 65, 72, 73, 75, 76, 78, 79]"
on-numara,2021,Ekim,10,84,"[2, 4, 12, 27, 28, 32, 37, 39, 41, 46, 48, 49, 52, 56, 58, 63, 64, 65, 66, 71, 73, 75]"
on-numara,2021,Ekim,10,83,"[7, 9, 16, 20, 25, 30, 35, 38, 40, 44, 46, 47, 51, 52, 55, 56, 57, 68, 74, 77, 79, 80]"
on-numara,2021,Ekim,10,82,"[1, 5, 6, 7, 11, 12, 18, 20, 27, 34, 36, 38, 42, 45, 46, 48, 49, 54, 55, 57, 75, 78]"
on-numara,2021,Ekim,10,81,"[2, 10, 11, 12, 15, 16, 22, 28, 29, 31, 32, 36, 45, 46, 49, 53, 57, 62, 67, 74, 75, 76]"
on-numara,2021,Ekim,10,80,"[6, 11, 12, 15, 18, 19, 24, 25, 29, 31, 33, 35, 36, 38, 41, 52, 60, 67, 68, 73, 75, 76]"
on-numara,2021,Ekim,10,79,"[2, 9, 13, 15, 26, 29, 33, 37, 38, 40, 44, 53, 54, 57, 60, 61, 62, 65, 69, 70, 72, 73]"
on-numara,2021,Kasım,11,96,"[4, 5, 10, 12, 19, 23, 24, 25, 27, 31, 33, 43, 46, 49, 52, 54, 55, 60, 61, 64, 67, 68]"
on-numara,2021,Kasım,11,95,"[1, 2, 4, 10, 13, 14, 18, 19, 24, 28, 31, 32, 35, 44, 49, 58, 60, 61, 69, 72, 77, 80]"
on-numara,2021,Kasım,11,94,"[3, 4, 8, 9, 18, 25, 32, 33, 42, 46, 47, 48, 52, 53, 56, 58, 61, 63, 66, 67, 68, 74]"
on-numara,2021,Kasım,11,93,"[2, 9, 12, 13, 15, 17, 19, 20, 22, 35, 41, 42, 44, 46, 54, 55, 59, 62, 68, 70, 74, 80]"
on-numara,2021,Kasım,11,92,"[5, 6, 10, 12, 17, 27, 28, 35, 36, 38, 45, 46, 47, 54, 55, 56, 57, 63, 68, 73, 75, 79]"
on-numara,2021,Kasım,11,91,"[8, 13, 16, 20, 21, 22, 25, 26, 29, 33, 37, 39, 53, 55, 58, 64, 66, 69, 70, 76, 77, 79]"
on-numara,2021,Kasım,11,90,"[4, 8, 13, 16, 21, 25, 29, 31, 35, 39, 44, 51, 53, 55, 56, 59, 65, 66, 70, 71, 74, 80]"
on-numara,2021,Kasım,11,89,"[2, 3, 10, 15, 18, 19, 20, 21, 28, 30, 31, 33, 34, 46, 48, 49, 51, 53, 61, 63, 66, 77]"
on-numara,2021,Kasım,11,88,"[1, 4, 15, 18, 21, 27, 30, 33, 34, 35, 37, 42, 43, 44, 50, 65, 68, 69, 73, 75, 77, 80]"
on-numara,2021,Aralık,12,105,"[2, 3, 13, 14, 18, 19, 20, 21, 24, 26, 32, 35, 36, 41, 43, 46, 51, 54, 59, 68, 77, 79]"
on-numara,2021,Aralık,12,104,"[4, 7, 12, 14, 21, 25, 26, 31, 40, 50, 52, 53, 62, 64, 66, 69, 70, 71, 75, 77, 78, 79]"
on-numara,2021,Aralık,12,103,"[2, 3, 6, 8, 10, 19, 23, 27, 29, 30, 32, 35, 37, 42, 44, 52, 56, 65, 66, 67, 75, 79]"
on-numara,2021,Aralık,12,102,"[1, 6, 12, 13, 14, 15, 19, 24, 25, 29, 30, 36, 40, 45, 53, 63, 64, 68, 70, 72, 74, 80]"
on-numara,2021,Aralık,12,101,"[1, 6, 10, 12, 14, 25, 31, 32, 38, 41, 44, 49, 50, 56, 57, 61, 63, 68, 70, 72, 73, 74]"
on-numara,2021,Aralık,12,100,"[5, 6, 13, 15, 22, 24, 25, 27, 32, 34, 36, 42, 45, 47, 50, 53, 56, 57, 58, 60, 65, 72]"
on-numara,2021,Aralık,12,99,"[2, 4, 7, 8, 12, 24, 25, 30, 42, 45, 46, 47, 50, 51, 52, 55, 65, 67, 72, 73, 74, 78]"
on-numara,2021,Aralık,12,98,"[9, 10, 12, 15, 16, 17, 32, 39, 46, 50, 55, 59, 62, 63, 64, 66, 69, 73, 75, 76, 78, 79]"
on-numara,2021,Aralık,12,97,"[4, 5, 7, 18, 20, 22, 23, 30, 31, 38, 42, 44, 45, 47, 55, 57, 58, 59, 63, 74, 75, 78]"
on-numara,2022,Ocak,1,9,"[1, 3, 5, 6, 10, 12, 18, 29, 32, 34, 35, 40, 47, 51, 53, 54, 56, 66, 69, 71, 77, 78]"
on-numara,2022,Ocak,1,8,"[1, 5, 7, 10, 11, 14, 16, 20, 23, 24, 25, 26, 34, 38, 39, 41, 46, 47, 49, 65, 70, 76]"
on-numara,2022,Ocak,1,7,"[5, 7, 9, 13, 15, 16, 18, 19, 25, 35, 36, 41, 42, 49, 60, 61, 66, 68, 70, 74, 77, 80]"
on-numara,2022,Ocak,1,6,"[2, 3, 8, 12, 16, 17, 19, 20, 32, 35, 39, 40, 48, 49, 50, 57, 64, 67, 72, 74, 75, 80]"
on-numara,2022,Ocak,1,5,"[3, 5, 7, 10, 12, 15, 16, 18, 21, 25, 28, 37, 38, 39, 40, 53, 61, 65, 73, 75, 76, 80]"
on-numara,2022,Ocak,1,4,"[2, 4, 11, 13, 17, 18, 19, 20, 21, 33, 37, 40, 44, 58, 60, 61, 62, 65, 69, 75, 76, 80]"
on-numara,2022,Ocak,1,3,"[2, 5, 9, 18, 22, 24, 27, 30, 36, 39, 40, 41, 45, 46, 47, 48, 57, 62, 65, 66, 77, 79]"
on-numara,2022,Ocak,1,2,"[4, 11, 12, 16, 19, 32, 33, 34, 35, 37, 39, 40, 41, 44, 49, 50, 55, 56, 59, 67, 73, 79]"
on-numara,2022,Ocak,1,1,"[3, 12, 16, 22, 27, 30, 32, 36, 38, 41, 43, 44, 45, 48, 53, 55, 57, 67, 72, 73, 75, 79]"
on-numara,2022,Şubat,2,17,"[5, 11, 13, 19, 21, 24, 28, 31, 33, 36, 49, 53, 56, 58, 61, 63, 69, 71, 73, 75, 77, 79]"
on-numara,2022,Şubat,2,16,"[1, 7, 9, 10, 11, 13, 16, 19, 21, 22, 27, 30, 34, 36, 40, 44, 57, 64, 65, 66, 76, 80]"
on-numara,2022,Şubat,2,15,"[2, 7, 13, 15, 16, 18, 21, 24, 28, 35, 38, 39, 42, 43, 44, 45, 48, 52, 60, 61, 73, 74]"
on-numara,2022,Şubat,2,14,"[2, 3, 7, 13, 15, 17, 21, 22, 30, 42, 46, 48, 53, 54, 57, 58, 61, 66, 71, 74, 75, 76]"
on-numara,2022,Şubat,2,13,"[4, 8, 16, 21, 24, 27, 28, 30, 33, 34, 37, 44, 45, 46, 50, 67, 70, 73, 74, 76, 77, 80]"
on-numara,2022,Şubat,2,12,"[4, 6, 8, 10, 13, 15, 17, 21, 27, 28, 32, 39, 40, 43, 44, 47, 48, 56, 58, 61, 62, 68]"
on-numara,2022,Şubat,2,11,"[10, 11, 18, 20, 24, 26, 32, 34, 35, 36, 37, 39, 41, 42, 45, 48, 61, 64, 65, 68, 71, 78]"
on-numara,2022,Şubat,2,10,"[1, 3, 12, 13, 19, 23, 25, 30, 36, 42, 47, 48, 49, 50, 60, 65, 66, 69, 70, 75, 78, 80]"
on-numara,2022,Mart,3,25,"[2, 4, 13, 16, 18, 19, 24, 26, 30, 31, 33, 40, 47, 50, 55, 61, 65, 68, 74, 77, 78, 79]"
