tconst,titleType,originalTitle,startYear,genres,averageRating,numVotes,m_rating,Streaming
tt0106220,movie,Addams Family Values,1993.0,"Comedy,Fantasy",6.8,116496.0,0.0,"Netflix,Apple TV,Apple TV"
tt0106308,movie,Army of Darkness,1992.0,"Comedy,Horror",7.4,201485.0,0.0,Amazon Prime Video
tt0106519,movie,Carlito's Way,1993.0,"Crime,Drama,Thriller",7.9,239296.0,0.0,"Apple TV,Apple TV"
tt0106611,movie,Cool Runnings,1993.0,"Adventure,Comedy,Family",7.0,117619.0,0.0,Disney Plus
tt0106977,movie,The Fugitive,1993.0,"Action,Crime,Drama",7.8,331770.0,0.0,"Apple TV,Apple TV"
tt0107120,movie,Hocus Pocus,1993.0,"Comedy,Family,Fantasy",6.9,164053.0,0.0,Disney Plus
tt0107144,movie,Hot Shots! Part Deux,1993.0,"Action,Comedy",6.6,100294.0,0.0,"Disney Plus,Apple TV"
tt0107206,movie,In the Line of Fire,1993.0,"Action,Crime,Drama",7.2,117993.0,0.0,"Amazon Prime Video,TV+,Apple TV,Apple TV"
tt0107362,movie,Last Action Hero,1993.0,"Action,Adventure,Comedy",6.5,168789.0,0.0,"Apple TV,Apple TV"
tt0107614,movie,Mrs. Doubtfire,1993.0,"Comedy,Drama",7.1,303217.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0107688,movie,The Nightmare Before Christmas,1993.0,"Animation,Family,Fantasy",7.9,394085.0,0.0,Disney Plus
tt0107818,movie,Philadelphia,1993.0,Drama,7.7,266077.0,0.0,Disney Plus
tt0108037,movie,The Sandlot,1993.0,"Comedy,Drama,Family",7.8,107861.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0108160,movie,Sleepless in Seattle,1993.0,"Comedy,Drama,Romance",6.8,197985.0,0.0,"Amazon Prime Video,TV+,Apple TV,Apple TV"
tt0108358,movie,Tombstone,1993.0,"Biography,Drama,History",7.8,176364.0,0.0,Disney Plus
tt0108394,movie,Trois couleurs: Bleu,1993.0,"Drama,Music,Mystery",7.8,114748.0,0.0,"MUBI,Apple TV"
tt0109040,movie,Ace Ventura: Pet Detective,1994.0,Comedy,6.9,338224.0,0.0,"Netflix,Apple TV"
tt0109444,movie,Clear and Present Danger,1994.0,"Action,Crime,Drama",6.9,111775.0,0.0,"Apple TV,Apple TV"
tt0109506,movie,The Crow,1994.0,"Action,Crime,Drama",7.5,221313.0,0.0,Amazon Prime Video
tt0109707,movie,Ed Wood,1994.0,"Biography,Comedy,Drama",7.8,187879.0,0.0,Disney Plus
tt0109831,movie,Four Weddings and a Funeral,1994.0,"Comedy,Drama,Romance",7.1,173144.0,0.0,blutv
tt0110148,movie,Interview with the Vampire: The Vampire Chronicles,1994.0,"Drama,Fantasy,Horror",7.5,361219.0,0.0,"Apple TV,Apple TV"
tt0110322,movie,Legends of the Fall,1994.0,"Drama,Romance,War",7.5,190655.0,0.0,"Apple TV,Apple TV"
